epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.48364,1.518,3.78662,1.30896,0.00353,0.5,0.30697,0.20427,0.88154,3.41802,0.89377,0.00025005,0.00025005,0.00025005
2,10.0044,1.63988,2.53423,1.19766,0.5538,0.47727,0.42968,0.18524,1.12528,3.20834,0.96507,0.000516258,0.000516258,0.000516258
3,14.1027,1.60703,2.24726,1.21664,0.00376,0.5,0.37748,0.20231,1.04417,3.18472,0.9683,0.000781939,0.000781939,0.000781939
4,18.124,1.60771,1.98477,1.23065,0.54216,0.5,0.35896,0.15597,1.29375,3.02212,1.08597,0.00104709,0.00104709,0.00104709
5,22.1489,1.59248,2.04982,1.24642,0.82568,0.33974,0.31372,0.15097,1.57164,2.49999,1.23437,0.00131171,0.00131171,0.00131171
6,26.2065,1.62331,1.82574,1.28421,0.82167,0.34091,0.48702,0.29607,1.42091,2.06851,1.19441,0.00157581,0.00157581,0.00157581
7,30.4764,1.59792,1.74273,1.25663,0.6236,0.52109,0.7269,0.36105,1.37698,1.85823,1.19735,0.0016571,0.0016571,0.0016571
8,34.6055,1.57761,1.58029,1.24468,0.66095,0.6,0.71358,0.36177,1.48519,1.32242,1.23699,0.00165545,0.00165545,0.00165545
9,38.8013,1.61183,1.54343,1.26897,0.75914,0.725,0.83066,0.42817,1.25472,1.0898,1.15317,0.0016538,0.0016538,0.0016538
10,42.9451,1.46905,1.42129,1.20649,0.7511,0.84922,0.81968,0.50032,1.08209,0.97962,1.02259,0.00165215,0.00165215,0.00165215
11,47.1457,1.47755,1.33399,1.20735,0.80247,0.82045,0.93786,0.45567,1.31934,0.98823,1.12804,0.0016505,0.0016505,0.0016505
12,51.3428,1.50481,1.36869,1.21995,0.88029,0.85792,0.93987,0.47969,1.30333,0.93716,1.12523,0.00164885,0.00164885,0.00164885
13,55.6284,1.47293,1.25739,1.21622,0.8296,0.75736,0.90132,0.47655,1.26297,0.89063,1.08545,0.0016472,0.0016472,0.0016472
14,59.8886,1.47389,1.23915,1.20941,0.73863,0.7012,0.8869,0.51576,1.16337,2.44242,1.05019,0.00164555,0.00164555,0.00164555
15,64.2104,1.46847,1.16214,1.2295,0.77453,0.85,0.89014,0.50097,1.07093,1.06036,1.01339,0.0016439,0.0016439,0.0016439
16,68.4922,1.46837,1.13146,1.22265,0.91179,0.85,0.93603,0.54642,1.05977,0.89455,1.02276,0.00164225,0.00164225,0.00164225
17,72.8899,1.44689,1.09035,1.18607,0.76472,0.79861,0.79731,0.46108,1.12446,0.69947,1.03247,0.00164059,0.00164059,0.00164059
18,77.2976,1.4137,1.03152,1.19256,0.89982,0.86439,0.88749,0.43109,1.6909,0.837,1.28853,0.00163894,0.00163894,0.00163894
19,81.5557,1.45023,1.02242,1.16838,0.92539,0.925,0.97961,0.542,1.1399,0.60448,1.04651,0.00163729,0.00163729,0.00163729
20,85.9106,1.53338,1.09841,1.2109,0.87567,0.77419,0.83958,0.52625,1.19381,0.79422,1.04568,0.00163564,0.00163564,0.00163564
21,90.5121,1.38913,1.00125,1.18751,0.94311,0.82298,0.95747,0.50624,1.13183,0.85561,1.04555,0.00163399,0.00163399,0.00163399
22,94.7989,1.40715,0.97417,1.19668,0.90577,0.975,0.9444,0.55002,1.08994,0.66673,1.01673,0.00163234,0.00163234,0.00163234
23,99.1122,1.38815,0.92988,1.20207,0.92846,0.89746,0.90516,0.56657,1.043,0.67353,0.99515,0.00163069,0.00163069,0.00163069
24,103.566,1.39191,0.94316,1.16709,0.90309,0.925,0.92738,0.55276,1.02961,0.60113,1.01192,0.00162904,0.00162904,0.00162904
25,107.896,1.35428,0.92004,1.14798,0.90509,0.925,0.92597,0.55674,1.00012,0.55481,0.9724,0.00162739,0.00162739,0.00162739
26,112.302,1.41301,0.9264,1.20833,0.91473,0.875,0.8736,0.49212,1.08355,0.59859,1.03179,0.00162574,0.00162574,0.00162574
27,116.654,1.36852,0.92223,1.16429,0.92845,0.9,0.89832,0.51849,1.05918,0.55914,0.99907,0.00162409,0.00162409,0.00162409
28,121.147,1.41287,0.89428,1.1911,0.90213,0.975,0.94345,0.57253,0.9698,0.53447,0.98378,0.00162244,0.00162244,0.00162244
29,125.535,1.36889,0.86738,1.17485,0.96382,0.94768,0.97173,0.53816,1.07001,0.57762,1.00301,0.00162079,0.00162079,0.00162079
30,129.909,1.35966,0.83774,1.16253,0.93495,0.92209,0.98322,0.58017,1.00856,0.55686,0.99839,0.00161914,0.00161914,0.00161914
31,134.177,1.34418,0.83941,1.15179,0.91843,0.875,0.8853,0.53859,1.08612,0.57853,1.02173,0.00161749,0.00161749,0.00161749
32,138.452,1.38474,0.83224,1.18019,0.8154,0.85,0.80743,0.48498,1.11762,0.5884,1.01197,0.00161584,0.00161584,0.00161584
33,142.779,1.32529,0.79665,1.13031,0.81863,0.875,0.8985,0.53205,1.03935,0.60723,1.01093,0.00161419,0.00161419,0.00161419
34,147.1,1.37235,0.83695,1.17601,0.86059,0.86752,0.89701,0.53784,1.06608,0.67555,1.02228,0.00161254,0.00161254,0.00161254
35,151.523,1.3286,0.80814,1.18994,0.91804,0.84586,0.85191,0.54975,0.9776,0.55087,0.97557,0.00161089,0.00161089,0.00161089
36,155.908,1.31701,0.79249,1.16384,0.73906,0.85,0.89563,0.51962,1.02656,0.72724,0.99814,0.00160924,0.00160924,0.00160924
37,160.37,1.34432,0.83009,1.14367,0.82727,0.9,0.89654,0.54356,1.07009,0.61188,1.01743,0.00160759,0.00160759,0.00160759
38,164.965,1.29214,0.79986,1.14044,0.89753,0.82355,0.85916,0.49036,1.1936,0.58814,1.0699,0.00160594,0.00160594,0.00160594
39,169.615,1.33717,0.7981,1.15797,0.88091,0.85534,0.89545,0.48866,1.26016,0.84939,1.0844,0.00160429,0.00160429,0.00160429
40,174.308,1.35898,0.78483,1.1562,0.94406,0.83565,0.93049,0.53822,1.06819,1.65627,1.017,0.00160264,0.00160264,0.00160264
41,178.902,1.2997,0.77484,1.14369,0.87819,0.875,0.87281,0.47136,1.34113,0.64238,1.09122,0.00160099,0.00160099,0.00160099
42,183.294,1.324,0.74798,1.14655,0.97252,0.95,0.95698,0.58806,0.92401,0.5213,0.9746,0.00159934,0.00159934,0.00159934
43,187.677,1.33634,0.77454,1.16027,0.9243,0.9,0.90155,0.58144,0.90956,0.48871,0.95746,0.00159769,0.00159769,0.00159769
44,192.17,1.30352,0.74837,1.17602,0.91975,0.875,0.89147,0.56665,0.94034,0.48443,0.99273,0.00159604,0.00159604,0.00159604
45,196.635,1.33066,0.76587,1.16887,0.92182,0.95,0.97098,0.55857,1.00672,0.51452,0.99764,0.00159439,0.00159439,0.00159439
46,201.117,1.28959,0.7792,1.13304,0.8753,0.78823,0.89017,0.5473,0.92528,0.72159,0.99393,0.00159274,0.00159274,0.00159274
47,205.692,1.18745,0.7319,1.08634,0.95067,0.87211,0.94272,0.55978,0.89652,0.51072,0.96872,0.00159108,0.00159108,0.00159108
